State Name,2018,2019,No.of Births in 2020,No.of Deaths in 2020
Uttar Pradesh,223897418,237882725,25.6,6.6
Maharashtra,124945748,123144223,15.6,5.5
Bihar,121741741,124799926,26.2,5.8
West Bengal,98785114,99609303,15,5.6
Andhra Pradesh,52883163,53473294,16,6.7
Madhya Pradesh,82961852,85358965,24.6,6.7
Tamil Nadu,80288487,77841267,14.7,6.5
Rajasthan,77122315,81032689,24,5.9
Karnataka,68159821,67562686,17.2,6.3
Gujarat,60927491,63872399,19.7,5.9
Odisha,46172447,46356334,18.2,7.3
Telangana,38472769,39362732,16.9,6.3
Kerala,34732356,35699443,13.9,6.9
Jharkhand,34149478,38593948,22.6,5.4
Assam,32652597,35607039,21.1,6.4
Punjab,30471254,30141373,14.8,6.6
Haryana,28237755,28204692,20.3,5.9
Chhattisgarh,27134411,29436231,22.5,8
Uttarakhand,11453488,11250858,16.7,6.2
Himachal Pradesh,7234695,7451955,15.7,6.9
Tripura,3914581,4169794,13,5.5
Meghalaya,3257373,3366710,22.1,5.8
Manipur,2933784,3091545,14.3,4.5
Nagaland,2063533,2249695,12.9,3.5
Goa,1562488,1586250,12.4,5.9
Arunachal Pradesh,1511873,1570458,17.9,6
Mizoram,1156288,1239244,14.8,4.1
Sikkim,656328,690251,16.3,4.5
